Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1993-01-29,1993,1.0,29.0,Friday,04,1993-04,43.97,43.97,43.75,43.94,1003200,24.53,0.0,24.53,24.53,0.0,0.0
1993-02-01,1993,2.0,1.0,Monday,05,1993-05,43.97,44.25,43.97,44.25,480500,24.7,0.693,24.615,24.615,0.4612,0.4364993699880905
1993-02-02,1993,2.0,2.0,Tuesday,05,1993-05,44.22,44.38,44.12,44.34,201300,24.75,0.202,24.66,24.66,0.4612,0.4364993699880905
1993-02-03,1993,2.0,3.0,Wednesday,05,1993-05,44.41,44.84,44.38,44.81,529400,25.01,1.051,24.7475,24.7475,0.4612,0.4364993699880905
1993-02-04,1993,2.0,4.0,Thursday,05,1993-05,44.97,45.09,44.47,45.0,531500,25.12,0.44,24.822,24.822,0.4612,0.4364993699880905
1993-02-05,1993,2.0,5.0,Friday,05,1993-05,44.97,45.06,44.72,44.97,492100,25.1,-0.08,24.868333333333336,24.868333333333336,0.4612,0.4364993699880905
1993-02-08,1993,2.0,8.0,Monday,06,1993-06,44.97,45.12,44.91,44.97,596100,25.1,0.0,24.90142857142857,24.90142857142857,-0.1668,0.5337468501078015
1993-02-09,1993,2.0,9.0,Tuesday,06,1993-06,44.81,44.81,44.56,44.66,122100,24.93,-0.677,24.905,24.905,-0.1668,0.5337468501078015
1993-02-10,1993,2.0,10.0,Wednesday,06,1993-06,44.66,44.75,44.53,44.72,379600,24.96,0.12,24.91111111111111,24.91111111111111,-0.1668,0.5337468501078015
1993-02-11,1993,2.0,11.0,Thursday,06,1993-06,44.78,45.12,44.78,44.94,19500,25.08,0.481,24.928,24.928,-0.1668,0.5337468501078015
1993-02-12,1993,2.0,12.0,Friday,06,1993-06,44.88,44.88,44.59,44.59,42500,24.89,-0.758,24.924545454545456,24.924545454545456,-0.1668,0.5337468501078015
1993-02-16,1993,2.0,16.0,Tuesday,07,1993-07,44.47,44.47,43.41,43.47,374800,24.26,-2.531,24.86916666666667,24.86916666666667,-0.5707500000000001,1.322747739870809
1993-02-17,1993,2.0,17.0,Wednesday,07,1993-07,43.47,43.53,43.28,43.44,210900,24.25,-0.041,24.821538461538463,24.821538461538463,-0.5707500000000001,1.322747739870809
1993-02-18,1993,2.0,18.0,Thursday,07,1993-07,43.94,43.94,42.81,43.41,378100,24.23,-0.082,24.77928571428572,24.77928571428572,-0.5707500000000001,1.322747739870809
1993-02-19,1993,2.0,19.0,Friday,07,1993-07,43.41,43.56,43.34,43.56,34900,24.32,0.371,24.764285714285712,24.74866666666667,-0.5707500000000001,1.322747739870809
1993-02-22,1993,2.0,22.0,Monday,08,1993-08,43.69,43.78,43.56,43.72,513600,24.4,0.329,24.74285714285714,24.726875,0.3846,0.5130363534877426
1993-02-23,1993,2.0,23.0,Tuesday,08,1993-08,43.84,43.88,43.47,43.69,373700,24.39,-0.041,24.717142857142854,24.70705882352941,0.3846,0.5130363534877426
1993-02-24,1993,2.0,24.0,Wednesday,08,1993-08,43.72,44.25,43.72,44.25,26300,24.7,1.271,24.695,24.706666666666667,0.3846,0.5130363534877426
1993-02-25,1993,2.0,25.0,Thursday,08,1993-08,44.22,44.38,44.12,44.34,44500,24.75,0.202,24.66857142857143,24.70894736842105,0.3846,0.5130363534877426
1993-02-26,1993,2.0,26.0,Friday,08,1993-08,44.44,44.44,44.19,44.41,66200,24.79,0.162,24.64642857142857,24.713,0.3846,0.5130363534877426
1993-03-01,1993,3.0,1.0,Monday,09,1993-09,44.56,44.56,44.22,44.28,66500,24.72,-0.282,24.61928571428572,24.71333333333333,0.1556,0.8151842123103219
1993-03-02,1993,3.0,2.0,Tuesday,09,1993-09,44.31,44.94,44.25,44.94,182400,25.08,1.456,24.63,24.73,0.1556,0.8151842123103219
1993-03-03,1993,3.0,3.0,Wednesday,09,1993-09,45.0,45.16,44.94,45.12,280100,25.19,0.439,24.64642857142857,24.75,0.1556,0.8151842123103219
1993-03-04,1993,3.0,4.0,Thursday,09,1993-09,45.19,45.19,44.88,44.88,89500,25.05,-0.556,24.64428571428571,24.7625,0.1556,0.8151842123103219
1993-03-05,1993,3.0,5.0,Friday,09,1993-09,44.94,45.12,44.72,44.75,40000,24.98,-0.279,24.650714285714287,24.7712,0.1556,0.8151842123103219
1993-03-08,1993,3.0,8.0,Monday,10,1993-10,44.84,45.75,44.84,45.75,50800,25.54,2.242,24.742142857142856,24.800769230769237,0.1578,1.24343162256716
1993-03-09,1993,3.0,9.0,Tuesday,10,1993-10,45.66,45.69,45.5,45.59,169300,25.45,-0.352,24.82785714285714,24.82481481481481,0.1578,1.24343162256716
1993-03-10,1993,3.0,10.0,Wednesday,10,1993-10,45.59,45.69,45.41,45.69,194400,25.5,0.196,24.918571428571425,24.84892857142857,0.1578,1.24343162256716
1993-03-11,1993,3.0,11.0,Thursday,10,1993-10,45.72,45.84,45.5,45.56,70900,25.43,-0.275,24.99785714285714,24.86896551724138,0.1578,1.24343162256716
1993-03-12,1993,3.0,12.0,Friday,10,1993-10,45.19,45.22,44.81,45.09,643600,25.17,-1.022,25.052857142857142,24.879,0.1578,1.24343162256716
1993-03-15,1993,3.0,15.0,Monday,11,1993-11,45.06,45.31,45.06,45.31,310800,25.29,0.477,25.11714285714286,24.892258064516128,0.07239999999999999,0.4805047346280783
1993-03-16,1993,3.0,16.0,Tuesday,11,1993-11,45.31,45.44,45.31,45.31,30800,25.29,0.0,25.159285714285712,24.9046875,0.07239999999999999,0.4805047346280783
1993-03-17,1993,3.0,17.0,Wednesday,11,1993-11,45.25,45.25,44.97,45.03,21800,25.14,-0.593,25.187142857142856,24.911818181818184,0.07239999999999999,0.4805047346280783
1993-03-18,1993,3.0,18.0,Thursday,11,1993-11,45.22,45.5,45.22,45.31,59300,25.29,0.597,25.222857142857144,24.922941176470587,0.07239999999999999,0.4805047346280783
1993-03-19,1993,3.0,19.0,Friday,11,1993-11,45.28,45.28,45.03,45.03,66900,25.26,-0.119,25.26142857142857,24.93257142857143,0.07239999999999999,0.4805047346280783
1993-03-22,1993,3.0,22.0,Monday,12,1993-12,44.59,44.88,44.56,44.78,183400,25.12,-0.554,25.264285714285712,24.93777777777778,-0.05440000000000002,0.5103981778964342
1993-03-23,1993,3.0,23.0,Tuesday,12,1993-12,44.91,44.94,44.81,44.88,55200,25.17,0.199,25.262857142857143,24.944054054054057,-0.05440000000000002,0.5103981778964342
1993-03-24,1993,3.0,24.0,Wednesday,12,1993-12,44.81,45.06,44.59,44.88,37200,25.17,0.0,25.27142857142857,24.95,-0.05440000000000002,0.5103981778964342
1993-03-25,1993,3.0,25.0,Thursday,12,1993-12,44.91,45.25,44.84,45.16,110100,25.33,0.636,25.29642857142857,24.959743589743592,-0.05440000000000002,0.5103981778964342
1993-03-26,1993,3.0,26.0,Friday,12,1993-12,45.12,45.16,44.88,44.91,101500,25.19,-0.553,25.27142857142857,24.9655,-0.05440000000000002,0.5103981778964342
1993-03-29,1993,3.0,29.0,Monday,13,1993-13,44.94,45.31,44.94,45.09,87100,25.29,0.397,25.26,24.97341463414634,-0.3638,1.0099859900018415
1993-03-30,1993,3.0,30.0,Tuesday,13,1993-13,45.16,45.22,45.09,45.22,56000,25.36,0.277,25.25,24.98261904761905,-0.3638,1.0099859900018415
1993-03-31,1993,3.0,31.0,Wednesday,13,1993-13,45.34,45.47,45.19,45.19,111600,25.34,-0.079,25.243571428571432,24.99093023255814,-0.3638,1.0099859900018415
1993-04-01,1993,4.0,1.0,Thursday,13,1993-13,45.25,45.25,44.94,45.03,129500,25.26,-0.316,25.25,24.997045454545457,-0.3638,1.0099859900018415
1993-04-02,1993,4.0,2.0,Friday,13,1993-13,44.66,44.66,44.09,44.09,59400,24.73,-2.098,25.21,24.99111111111111,-0.3638,1.0099859900018415
1993-04-05,1993,4.0,5.0,Monday,14,1993-14,44.44,44.44,44.19,44.31,172200,24.85,0.485,25.178571428571427,24.98804347826087,0.10125,0.3792240982145869
1993-04-06,1993,4.0,6.0,Tuesday,14,1993-14,44.41,44.41,44.06,44.19,129700,24.78,-0.282,25.152857142857147,24.9836170212766,0.10125,0.3792240982145869
1993-04-07,1993,4.0,7.0,Wednesday,14,1993-14,44.25,44.34,44.16,44.34,28000,24.87,0.363,25.122857142857143,24.98125,0.10125,0.3792240982145869
1993-04-08,1993,4.0,8.0,Thursday,14,1993-14,44.53,44.53,44.09,44.28,180800,24.83,-0.161,25.092142857142857,24.97816326530612,0.10125,0.3792240982145869
1993-04-12,1993,4.0,12.0,Monday,15,1993-15,44.72,44.94,44.66,44.91,348500,25.19,1.45,25.09714285714286,24.9824,0.298,0.6562484285695471
1993-04-13,1993,4.0,13.0,Tuesday,15,1993-15,44.88,45.16,44.84,45.0,146100,25.24,0.198,25.10214285714286,24.9966,0.298,0.6562484285695471
1993-04-14,1993,4.0,14.0,Wednesday,15,1993-15,45.03,45.06,44.91,44.94,119600,25.2,-0.158,25.104285714285712,25.0066,0.298,0.6562484285695471
1993-04-15,1993,4.0,15.0,Thursday,15,1993-15,44.91,45.03,44.75,44.94,148600,25.2,0.0,25.095,25.0156,0.298,0.6562484285695471
1993-04-16,1993,4.0,16.0,Friday,15,1993-15,44.97,45.03,44.88,44.94,47900,25.2,0.0,25.095714285714287,25.0194,0.298,0.6562484285695471
