Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,20.78,20.83,20.75,20.83,1900,11.72,0.0,11.72,11.72,1.1013333333333333,1.1419655569820542
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,20.97,21.14,20.97,21.05,700,11.84,1.024,11.78,11.78,1.1013333333333333,1.1419655569820542
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,21.3,21.53,21.2,21.53,1500,12.11,2.28,11.89,11.89,1.1013333333333333,1.1419655569820542
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,21.5,21.5,21.31,21.34,2500,12.01,-0.826,11.92,11.92,0.45675,1.2421554854365053
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,21.73,21.73,21.73,21.73,100,12.23,1.832,11.982,11.982,0.45675,1.2421554854365053
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,21.72,21.72,21.67,21.67,800,12.19,-0.327,12.016666666666666,12.016666666666666,0.45675,1.2421554854365053
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,21.86,22.0,21.86,21.92,3300,12.33,1.148,12.061428571428571,12.061428571428571,0.45675,1.2421554854365053
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,21.94,22.25,21.66,21.66,13000,12.18,-1.217,12.07625,12.07625,1.127,2.0354925693797066
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,21.86,22.3,21.86,22.19,4400,12.48,2.463,12.121111111111112,12.121111111111112,1.127,2.0354925693797066
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,22.33,22.58,22.22,22.58,12900,12.7,1.763,12.178999999999998,12.178999999999998,1.127,2.0354925693797066
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,22.47,23.39,22.33,22.41,86200,12.6,-0.787,12.217272727272729,12.217272727272729,1.127,2.0354925693797066
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,22.61,23.17,22.61,23.17,25200,13.03,3.413,12.284999999999998,12.284999999999998,1.127,2.0354925693797066
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,23.19,23.22,23.0,23.22,14200,13.06,0.23,12.344615384615384,12.344615384615384,-0.942,1.7591911493638206
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,23.02,23.12,22.58,22.62,5100,12.73,-2.527,12.372142857142858,12.372142857142858,-0.942,1.7591911493638206
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,21.95,22.38,21.95,22.12,5500,12.45,-2.2,12.424285714285714,12.377333333333333,-0.942,1.7591911493638206
1999-01-14,1999,1.0,14.0,Thursday,02,1999-02,22.19,22.22,21.56,21.75,127300,12.23,-1.767,12.452142857142857,12.368125,-0.942,1.7591911493638206
