Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,23.31,23.39,23.19,23.27,15200,11.93,0.0,11.93,11.93,0.5343333333333334,1.3747233661116456
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,23.34,23.75,23.31,23.75,67800,12.18,2.096,12.055,12.055,0.5343333333333334,1.3747233661116456
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,23.81,23.81,23.59,23.62,12300,12.12,-0.493,12.076666666666666,12.076666666666666,0.5343333333333334,1.3747233661116456
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,23.75,23.75,23.34,23.5,13500,12.05,-0.578,12.07,12.07,-0.307,1.027040083605958
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,23.56,23.73,23.34,23.73,22000,12.17,0.996,12.09,12.09,-0.307,1.027040083605958
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,23.72,23.72,23.36,23.38,21800,11.99,-1.479,12.073333333333332,12.073333333333332,-0.307,1.027040083605958
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,23.34,23.34,23.22,23.34,13000,11.97,-0.167,12.058571428571428,12.058571428571428,-0.307,1.027040083605958
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,23.28,23.75,23.28,23.33,28600,11.97,0.0,12.0475,12.0475,0.5386,1.5781806930766833
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,23.47,23.47,23.17,23.2,42700,11.9,-0.585,12.03111111111111,12.03111111111111,0.5386,1.5781806930766833
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,23.47,24.0,23.31,23.97,56400,12.29,3.277,12.057,12.057,0.5386,1.5781806930766833
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,23.97,23.98,23.58,23.86,72600,12.24,-0.407,12.073636363636364,12.073636363636364,0.5386,1.5781806930766833
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,24.0,24.56,23.38,23.97,421100,12.29,0.408,12.091666666666669,12.091666666666669,0.5386,1.5781806930766833
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,23.75,23.78,23.44,23.52,35000,12.06,-1.871,12.089230769230769,12.089230769230769,-1.0555999999999999,1.4301415314576387
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,23.5,23.59,23.12,23.16,89200,11.88,-1.493,12.074285714285711,12.074285714285711,-1.0555999999999999,1.4301415314576387
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,22.75,23.19,22.69,22.81,42400,11.7,-1.515,12.057857142857143,12.049333333333331,-1.0555999999999999,1.4301415314576387
1999-01-14,1999,1.0,14.0,Thursday,02,1999-02,22.75,22.88,22.38,22.38,70000,11.48,-1.88,12.007857142857144,12.01375,-1.0555999999999999,1.4301415314576387
1999-01-15,1999,1.0,15.0,Friday,02,1999-02,22.56,22.75,22.45,22.72,10700,11.65,1.481,11.974285714285717,11.99235294117647,-1.0555999999999999,1.4301415314576387
1999-01-19,1999,1.0,19.0,Tuesday,03,1999-03,22.81,22.81,22.53,22.72,12800,11.65,0.0,11.945714285714288,11.973333333333334,-0.12725,0.6843061571158531
1999-01-20,1999,1.0,20.0,Wednesday,03,1999-03,22.59,22.81,22.52,22.53,15800,11.56,-0.773,11.90214285714286,11.951578947368422,-0.12725,0.6843061571158531
1999-01-21,1999,1.0,21.0,Thursday,03,1999-03,22.53,22.91,22.5,22.72,23900,11.65,0.779,11.877857142857142,11.9365,-0.12725,0.6843061571158531
1999-01-22,1999,1.0,22.0,Friday,03,1999-03,22.75,22.81,22.56,22.59,19300,11.59,-0.515,11.850714285714286,11.92,-0.12725,0.6843061571158531
1999-01-25,1999,1.0,25.0,Monday,04,1999-04,22.69,22.69,22.38,22.56,18200,11.57,-0.173,11.82214285714286,11.90409090909091,-0.6978000000000001,0.7314401547631905
1999-01-26,1999,1.0,26.0,Tuesday,04,1999-04,22.59,22.59,22.16,22.34,25700,11.46,-0.951,11.790714285714284,11.884782608695652,-0.6978000000000001,0.7314401547631905
1999-01-27,1999,1.0,27.0,Wednesday,04,1999-04,22.38,22.38,21.88,21.94,37100,11.25,-1.832,11.71642857142857,11.858333333333334,-0.6978000000000001,0.7314401547631905
1999-01-28,1999,1.0,28.0,Thursday,04,1999-04,22.0,22.0,21.62,21.81,30800,11.19,-0.533,11.641428571428571,11.831600000000002,-0.6978000000000001,0.7314401547631905
1999-01-29,1999,1.0,29.0,Friday,04,1999-04,21.69,21.81,21.44,21.81,18600,11.19,0.0,11.562857142857142,11.806923076923075,-0.6978000000000001,0.7314401547631905
1999-02-01,1999,2.0,1.0,Monday,05,1999-05,21.81,21.88,21.59,21.59,23100,11.08,-0.983,11.492857142857144,11.78,0.9570000000000001,1.5840885391921753
1999-02-02,1999,2.0,2.0,Tuesday,05,1999-05,21.62,21.81,21.53,21.62,26500,11.09,0.09,11.436428571428571,11.75535714285714,0.9570000000000001,1.5840885391921753
1999-02-03,1999,2.0,3.0,Wednesday,05,1999-05,21.75,22.25,21.75,22.12,29400,11.35,2.344,11.411428571428573,11.741379310344827,0.9570000000000001,1.5840885391921753
1999-02-04,1999,2.0,4.0,Thursday,05,1999-05,22.12,22.31,22.06,22.25,26000,11.41,0.529,11.406428571428572,11.730333333333334,0.9570000000000001,1.5840885391921753
1999-02-05,1999,2.0,5.0,Friday,05,1999-05,22.31,22.94,22.19,22.88,66000,11.73,2.805,11.412142857142856,11.73032258064516,0.9570000000000001,1.5840885391921753
1999-02-08,1999,2.0,8.0,Monday,06,1999-06,22.97,23.19,22.94,23.19,31100,11.89,1.364,11.429285714285712,11.7353125,-0.6302,1.465439763347508
1999-02-09,1999,2.0,9.0,Tuesday,06,1999-06,23.22,23.22,22.75,22.75,64300,11.67,-1.85,11.437142857142858,11.733333333333333,-0.6302,1.465439763347508
1999-02-10,1999,2.0,10.0,Wednesday,06,1999-06,22.84,23.06,22.69,22.81,69300,11.7,0.257,11.440714285714288,11.73235294117647,-0.6302,1.465439763347508
1999-02-11,1999,2.0,11.0,Thursday,06,1999-06,22.72,22.72,22.28,22.62,216800,11.61,-0.769,11.442142857142857,11.728857142857144,-0.6302,1.465439763347508
1999-02-12,1999,2.0,12.0,Friday,06,1999-06,22.38,22.62,22.16,22.16,242300,11.36,-2.153,11.427142857142856,11.71861111111111,-0.6302,1.465439763347508
1999-02-16,1999,2.0,16.0,Tuesday,07,1999-07,22.33,22.44,21.78,22.0,36600,11.28,-0.704,11.414285714285716,11.706756756756755,-0.4865,0.5351538719533538
1999-02-17,1999,2.0,17.0,Wednesday,07,1999-07,21.88,22.09,21.75,21.78,41700,11.17,-0.975,11.40857142857143,11.692631578947369,-0.4865,0.5351538719533538
1999-02-18,1999,2.0,18.0,Thursday,07,1999-07,21.75,21.97,21.53,21.84,83000,11.2,0.269,11.409285714285716,11.68,-0.4865,0.5351538719533538
1999-02-19,1999,2.0,19.0,Friday,07,1999-07,21.94,21.97,21.53,21.72,130300,11.14,-0.536,11.405714285714286,11.6665,-0.4865,0.5351538719533538
1999-02-22,1999,2.0,22.0,Monday,08,1999-08,21.88,22.0,21.69,21.94,79500,11.25,0.987,11.417857142857144,11.656341463414634,-0.08760000000000001,0.770086553576934
1999-02-23,1999,2.0,23.0,Tuesday,08,1999-08,22.0,22.09,21.75,21.75,309600,11.16,-0.8,11.422857142857142,11.64452380952381,-0.08760000000000001,0.770086553576934
1999-02-24,1999,2.0,24.0,Wednesday,08,1999-08,21.81,22.09,21.66,21.66,34500,11.11,-0.448,11.405714285714286,11.632093023255814,-0.08760000000000001,0.770086553576934
1999-02-25,1999,2.0,25.0,Thursday,08,1999-08,21.64,21.91,21.62,21.77,44600,11.16,0.45,11.387857142857143,11.621363636363636,-0.08760000000000001,0.770086553576934
1999-02-26,1999,2.0,26.0,Friday,08,1999-08,21.84,22.0,21.62,21.62,24900,11.09,-0.627,11.342142857142855,11.609555555555554,-0.08760000000000001,0.770086553576934
1999-03-01,1999,3.0,1.0,Monday,09,1999-09,21.67,21.69,21.34,21.41,13300,10.98,-0.992,11.277142857142858,11.59586956521739,1.145,2.056704159571814
