Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,19.05,19.05,18.85,18.94,55887,11.38,0.0,11.38,11.38,0.6996666666666665,0.7030237075186961
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,18.86,19.22,18.86,19.22,78784,11.54,1.406,11.46,11.46,0.6996666666666665,0.7030237075186961
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,19.22,19.34,19.15,19.34,43824,11.62,0.693,11.513333333333334,11.513333333333334,0.6996666666666665,0.7030237075186961
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,19.33,19.33,19.04,19.09,51948,11.47,-1.291,11.5025,11.5025,-0.38575,1.0170274906150112
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,19.12,19.29,18.89,19.29,100819,11.59,1.046,11.52,11.52,-0.38575,1.0170274906150112
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,19.19,19.32,19.09,19.22,154614,11.54,-0.431,11.523333333333332,11.523333333333332,-0.38575,1.0170274906150112
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,19.22,19.24,19.04,19.04,65366,11.44,-0.867,11.51142857142857,11.51142857142857,-0.38575,1.0170274906150112
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,18.81,19.36,18.81,19.04,250632,11.44,0.0,11.5025,11.5025,1.2506,1.2189826906072128
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,18.96,19.24,18.96,19.22,47763,11.54,0.874,11.506666666666668,11.506666666666668,1.2506,1.2189826906072128
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,19.57,19.85,19.45,19.83,129871,11.91,3.206,11.547,11.547,1.2506,1.2189826906072128
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,19.62,20.13,19.57,20.13,89986,12.09,1.511,11.596363636363636,11.596363636363636,1.2506,1.2189826906072128
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,20.36,20.36,20.04,20.26,173694,12.17,0.662,11.644166666666663,11.644166666666663,1.2506,1.2189826906072128
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,20.28,20.28,19.76,19.95,62904,11.99,-1.479,11.670769230769231,11.670769230769231,-1.0539999999999998,2.282882498071243
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,19.85,19.85,19.39,19.39,117437,11.65,-2.836,11.669285714285715,11.669285714285715,-1.0539999999999998,2.282882498071243
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,18.46,19.39,18.46,19.14,359206,11.5,-1.288,11.677857142857144,11.658,-1.0539999999999998,2.282882498071243
