Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,23.2,23.28,23.2,23.28,600,14.67,0.0,14.67,14.67,1.015,0.9137390218218766
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,23.45,23.75,23.45,23.69,900,14.93,1.772,14.8,14.8,1.015,0.9137390218218766
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,23.91,24.02,23.83,24.0,1400,15.12,1.273,14.906666666666666,14.906666666666666,1.015,0.9137390218218766
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,24.0,24.14,24.0,24.12,7400,15.2,0.529,14.98,14.98,0.5922499999999999,0.7945931348809906
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,24.25,24.47,24.25,24.47,1400,15.42,1.447,15.068,15.068,0.5922499999999999,0.7945931348809906
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,24.45,24.45,24.3,24.36,2800,15.35,-0.454,15.115,15.115,0.5922499999999999,0.7945931348809906
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,24.36,24.56,24.31,24.56,33100,15.48,0.847,15.167142857142858,15.167142857142858,0.5922499999999999,0.7945931348809906
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,24.59,24.84,24.22,24.22,6400,15.26,-1.421,15.17875,15.17875,0.5349999999999999,1.6450661080941398
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,24.47,24.77,24.36,24.72,2000,15.58,2.097,15.223333333333333,15.223333333333333,0.5349999999999999,1.6450661080941398
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,24.95,25.33,24.95,25.25,13500,15.91,2.118,15.291999999999998,15.291999999999998,0.5349999999999999,1.6450661080941398
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,25.06,25.12,24.84,25.03,13100,15.77,-0.88,15.335454545454546,15.335454545454546,0.5349999999999999,1.6450661080941398
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,24.97,25.25,24.83,25.22,11000,15.89,0.761,15.381666666666666,15.381666666666666,0.5349999999999999,1.6450661080941398
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,25.16,25.16,24.88,24.98,2200,15.74,-0.944,15.409230769230769,15.409230769230769,-0.6796,1.5558603086395644
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,24.86,24.92,24.61,24.69,6500,15.56,-1.144,15.42,15.42,-0.6796,1.5558603086395644
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,24.03,24.36,24.0,24.06,1700,15.16,-2.571,15.455,15.402666666666669,-0.6796,1.5558603086395644
1999-01-14,1999,1.0,14.0,Thursday,02,1999-02,24.0,24.22,23.95,23.95,4100,15.09,-0.462,15.46642857142857,15.383125,-0.6796,1.5558603086395644
1999-01-15,1999,1.0,15.0,Friday,02,1999-02,24.08,24.42,24.08,24.36,4900,15.35,1.723,15.482857142857142,15.381176470588237,-0.6796,1.5558603086395644
1999-01-19,1999,1.0,19.0,Tuesday,03,1999-03,24.58,24.58,24.11,24.31,10100,15.32,-0.195,15.491428571428573,15.377777777777778,-0.8554999999999999,0.7580635417518331
1999-01-20,1999,1.0,20.0,Wednesday,03,1999-03,24.38,24.5,24.2,24.2,1700,15.25,-0.457,15.479285714285714,15.371052631578948,-0.8554999999999999,0.7580635417518331
1999-01-21,1999,1.0,21.0,Thursday,03,1999-03,24.14,24.14,23.98,24.0,2500,15.12,-0.852,15.462857142857144,15.3585,-0.8554999999999999,0.7580635417518331
1999-01-22,1999,1.0,22.0,Friday,03,1999-03,23.66,23.75,23.53,23.53,8700,14.83,-1.918,15.416428571428572,15.333333333333334,-0.8554999999999999,0.7580635417518331
1999-01-25,1999,1.0,25.0,Monday,04,1999-04,23.64,23.92,23.61,23.92,4600,15.08,1.686,15.403571428571428,15.32181818181818,0.6407999999999999,0.6652042543459865
1999-01-26,1999,1.0,26.0,Tuesday,04,1999-04,23.92,23.92,23.92,23.92,0,15.08,0.0,15.367857142857144,15.311304347826088,0.6407999999999999,0.6652042543459865
1999-01-27,1999,1.0,27.0,Wednesday,04,1999-04,24.2,24.2,24.11,24.11,500,15.19,0.729,15.316428571428572,15.30625,0.6407999999999999,0.6652042543459865
1999-01-28,1999,1.0,28.0,Thursday,04,1999-04,24.03,24.19,23.95,24.14,1900,15.21,0.132,15.276428571428571,15.3024,0.6407999999999999,0.6652042543459865
1999-01-29,1999,1.0,29.0,Friday,04,1999-04,24.23,24.41,23.95,24.3,109200,15.31,0.657,15.235,15.302692307692308,0.6407999999999999,0.6652042543459865
1999-02-01,1999,2.0,1.0,Monday,05,1999-05,24.5,24.5,24.33,24.33,2400,15.33,0.131,15.205714285714285,15.303703703703704,0.02779999999999999,0.6559548002720919
1999-02-02,1999,2.0,2.0,Tuesday,05,1999-05,24.16,24.19,23.86,24.14,20700,15.21,-0.783,15.180714285714286,15.300357142857145,0.02779999999999999,0.6559548002720919
1999-02-03,1999,2.0,3.0,Wednesday,05,1999-05,24.14,24.38,24.14,24.38,20100,15.36,0.986,15.195000000000002,15.302413793103447,0.02779999999999999,0.6559548002720919
1999-02-04,1999,2.0,4.0,Thursday,05,1999-05,24.34,24.42,24.25,24.41,6100,15.38,0.13,15.215714285714286,15.305,0.02779999999999999,0.6559548002720919
1999-02-05,1999,2.0,5.0,Friday,05,1999-05,24.48,24.48,24.3,24.33,4300,15.33,-0.325,15.214285714285714,15.305806451612904,0.02779999999999999,0.6559548002720919
1999-02-08,1999,2.0,8.0,Monday,06,1999-06,24.5,24.5,24.14,24.41,2900,15.38,0.326,15.218571428571428,15.308125,0.030600000000000026,1.0444095461072729
