Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,32.41,32.5,31.78,32.05,300500,24.02,0.0,24.02,24.02,0.6829999999999999,1.5110780919595121
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,32.75,32.81,32.16,32.81,338300,24.6,2.415,24.31,24.31,0.6829999999999999,1.5110780919595121
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,32.81,32.81,32.56,32.69,243700,24.51,-0.366,24.376666666666665,24.376666666666665,0.6829999999999999,1.5110780919595121
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,33.19,33.19,32.59,32.78,309300,24.58,0.286,24.4275,24.4275,-0.05050000000000002,0.38830615069383934
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,32.94,33.02,32.5,32.88,123800,24.65,0.285,24.472,24.472,-0.05050000000000002,0.38830615069383934
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,32.69,33.14,32.58,32.75,95600,24.55,-0.406,24.485,24.485,-0.05050000000000002,0.38830615069383934
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,32.75,32.91,32.34,32.62,77200,24.46,-0.367,24.481428571428573,24.481428571428573,-0.05050000000000002,0.38830615069383934
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,32.66,33.56,32.59,33.0,650600,24.74,1.145,24.51375,24.51375,1.3526,1.3833982795999131
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,33.06,34.03,33.06,33.84,295200,25.37,2.546,24.608888888888888,24.608888888888888,1.3526,1.3833982795999131
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,34.69,34.94,34.41,34.84,624700,26.12,2.956,24.76,24.76,1.3526,1.3833982795999131
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,34.5,35.03,34.28,34.73,534600,26.04,-0.306,24.876363636363635,24.876363636363635,1.3526,1.3833982795999131
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,35.5,35.56,34.48,34.88,532800,26.15,0.422,24.9825,24.9825,1.3526,1.3833982795999131
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,35.88,35.88,34.84,35.22,497900,26.4,0.956,25.091538461538462,25.091538461538462,-0.04280000000000008,2.1521517604481333
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,35.5,35.56,34.27,34.27,486000,25.69,-2.689,25.134285714285717,25.134285714285717,-0.04280000000000008,2.1521517604481333
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,32.0,35.16,32.0,34.25,548300,25.68,-0.039,25.252857142857145,25.170666666666666,-0.04280000000000008,2.1521517604481333
1999-01-14,1999,1.0,14.0,Thursday,02,1999-02,34.34,34.62,33.56,33.78,366300,25.33,-1.363,25.305,25.180625,-0.04280000000000008,2.1521517604481333
1999-01-15,1999,1.0,15.0,Friday,02,1999-02,34.0,34.8,33.84,34.78,653900,26.07,2.921,25.41642857142857,25.232941176470582,-0.04280000000000008,2.1521517604481333
1999-01-19,1999,1.0,19.0,Tuesday,03,1999-03,35.62,36.0,35.02,35.98,437300,26.98,3.491,25.587857142857143,25.33,0.009250000000000036,2.7528171479413595
1999-01-20,1999,1.0,20.0,Wednesday,03,1999-03,36.88,37.48,36.25,36.31,1132200,27.22,0.89,25.77142857142857,25.429473684210524,0.009250000000000036,2.7528171479413595
1999-01-21,1999,1.0,21.0,Thursday,03,1999-03,36.25,36.31,35.12,35.38,1492900,26.52,-2.572,25.912142857142857,25.484,0.009250000000000036,2.7528171479413595
1999-01-22,1999,1.0,22.0,Friday,03,1999-03,34.75,35.41,34.39,34.75,1291000,26.05,-1.772,26.025714285714287,25.510952380952386,0.009250000000000036,2.7528171479413595
1999-01-25,1999,1.0,25.0,Monday,04,1999-04,35.19,35.38,34.59,35.36,946600,26.51,1.766,26.152142857142856,25.55636363636364,1.7294,2.4040561141537444
