Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,25.88,26.53,25.88,26.5,150300,14.45,0.0,14.45,14.45,0.7396666666666668,1.4604746945200158
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,26.8,28.8,26.69,27.14,44000,14.8,2.422,14.625,14.625,0.7396666666666668,1.4604746945200158
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,27.14,27.14,27.0,27.09,45500,14.77,-0.203,14.673333333333332,14.673333333333332,0.7396666666666668,1.4604746945200158
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,27.14,27.16,26.81,26.94,25400,14.69,-0.542,14.6775,14.6775,0.07474999999999998,1.4045481776476494
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,26.95,27.56,25.98,27.53,123500,15.01,2.178,14.744,14.744,0.07474999999999998,1.4045481776476494
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,27.53,27.61,27.31,27.36,10200,14.92,-0.6,14.773333333333332,14.773333333333332,0.07474999999999998,1.4045481776476494
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,27.3,27.42,27.08,27.16,66300,14.81,-0.737,14.778571428571428,14.778571428571428,0.07474999999999998,1.4045481776476494
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,27.38,27.59,26.73,26.94,50000,14.69,-0.81,14.7675,14.7675,-0.077,1.0146873902833327
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,27.09,27.28,27.02,27.14,27900,14.8,0.749,14.77111111111111,14.77111111111111,-0.077,1.0146873902833327
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,27.33,27.48,27.16,27.47,118500,14.98,1.216,14.791999999999998,14.791999999999998,-0.077,1.0146873902833327
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,27.27,27.27,26.95,27.16,43500,14.81,-1.135,14.793636363636365,14.793636363636365,-0.077,1.0146873902833327
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,27.16,27.17,26.62,27.05,63800,14.75,-0.405,14.79,14.79,-0.077,1.0146873902833327
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,26.98,26.98,26.33,26.5,65400,14.45,-2.034,14.763846153846156,14.763846153846156,-0.6941999999999999,1.3223704851515705
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,26.48,26.58,26.25,26.3,29400,14.34,-0.761,14.733571428571429,14.733571428571429,-0.6941999999999999,1.3223704851515705
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,25.55,26.48,25.55,26.34,73800,14.36,0.139,14.727142857142857,14.708666666666666,-0.6941999999999999,1.3223704851515705
1999-01-14,1999,1.0,14.0,Thursday,02,1999-02,26.23,26.33,25.48,25.84,30800,14.09,-1.88,14.676428571428572,14.67,-0.6941999999999999,1.3223704851515705
1999-01-15,1999,1.0,15.0,Friday,02,1999-02,26.06,26.22,25.83,26.12,39000,14.24,1.065,14.638571428571428,14.64470588235294,-0.6941999999999999,1.3223704851515705
1999-01-19,1999,1.0,19.0,Tuesday,03,1999-03,26.33,26.33,25.66,25.83,39200,14.08,-1.124,14.595,14.613333333333337,-0.70725,0.8298290486600237
1999-01-20,1999,1.0,20.0,Wednesday,03,1999-03,25.98,26.19,25.78,25.91,480500,14.13,0.355,14.532142857142857,14.587894736842106,-0.70725,0.8298290486600237
1999-01-21,1999,1.0,21.0,Thursday,03,1999-03,25.8,25.94,25.36,25.52,42500,13.91,-1.557,14.460000000000004,14.553999999999998,-0.70725,0.8298290486600237
1999-01-22,1999,1.0,22.0,Friday,03,1999-03,25.36,25.67,25.22,25.39,75700,13.84,-0.503,14.390714285714283,14.52,-0.70725,0.8298290486600237
1999-01-25,1999,1.0,25.0,Monday,04,1999-04,25.39,25.48,25.11,25.33,179000,13.81,-0.217,14.327857142857145,14.487727272727271,1.0934000000000001,1.0708964935977707
1999-01-26,1999,1.0,26.0,Tuesday,04,1999-04,25.34,25.92,25.3,25.92,85000,14.13,2.317,14.28,14.47217391304348,1.0934000000000001,1.0708964935977707
1999-01-27,1999,1.0,27.0,Wednesday,04,1999-04,26.17,26.42,26.09,26.27,50400,14.32,1.345,14.232857142857144,14.465833333333334,1.0934000000000001,1.0708964935977707
1999-01-28,1999,1.0,28.0,Thursday,04,1999-04,26.3,26.8,26.27,26.73,57300,14.58,1.816,14.21642857142857,14.4704,1.0934000000000001,1.0708964935977707
1999-01-29,1999,1.0,29.0,Friday,04,1999-04,26.81,26.98,26.44,26.8,167800,14.61,0.206,14.206428571428573,14.475769230769233,1.0934000000000001,1.0708964935977707
1999-02-01,1999,2.0,1.0,Monday,05,1999-05,26.98,27.08,26.67,26.69,57200,14.55,-0.411,14.213571428571427,14.47851851851852,-0.38360000000000005,0.8285027459218226
1999-02-02,1999,2.0,2.0,Tuesday,05,1999-05,26.78,26.91,26.53,26.91,81800,14.67,0.825,14.237142857142857,14.485357142857142,-0.38360000000000005,0.8285027459218226
1999-02-03,1999,2.0,3.0,Wednesday,05,1999-05,26.78,26.91,26.55,26.81,65300,14.62,-0.341,14.255714285714287,14.489999999999998,-0.38360000000000005,0.8285027459218226
1999-02-04,1999,2.0,4.0,Thursday,05,1999-05,26.7,26.91,26.56,26.69,34400,14.55,-0.479,14.288571428571428,14.492,-0.38360000000000005,0.8285027459218226
1999-02-05,1999,2.0,5.0,Friday,05,1999-05,26.69,26.69,26.25,26.28,33000,14.33,-1.512,14.295,14.486774193548388,-0.38360000000000005,0.8285027459218226
1999-02-08,1999,2.0,8.0,Monday,06,1999-06,26.22,26.38,26.02,26.23,83500,14.3,-0.209,14.310714285714289,14.4809375,-0.07660000000000003,1.3368585564673625
1999-02-09,1999,2.0,9.0,Tuesday,06,1999-06,26.17,26.17,25.72,25.77,44500,14.05,-1.748,14.305,14.467878787878789,-0.07660000000000003,1.3368585564673625
1999-02-10,1999,2.0,10.0,Wednesday,06,1999-06,25.89,25.95,25.62,25.95,32000,14.15,0.712,14.322142857142856,14.458529411764706,-0.07660000000000003,1.3368585564673625
1999-02-11,1999,2.0,11.0,Thursday,06,1999-06,26.05,26.41,25.97,26.39,22400,14.39,1.696,14.361428571428572,14.45657142857143,-0.07660000000000003,1.3368585564673625
1999-02-12,1999,2.0,12.0,Friday,06,1999-06,26.44,26.52,25.98,26.17,29600,14.27,-0.834,14.394285714285717,14.45138888888889,-0.07660000000000003,1.3368585564673625
1999-02-16,1999,2.0,16.0,Tuesday,07,1999-07,26.5,26.67,26.41,26.48,37700,14.44,1.191,14.41642857142857,14.451081081081082,0.21375,1.0722640766154576
1999-02-17,1999,2.0,17.0,Wednesday,07,1999-07,26.47,26.72,26.03,26.22,26800,14.3,-0.97,14.415,14.447105263157894,0.21375,1.0722640766154576
1999-02-18,1999,2.0,18.0,Thursday,07,1999-07,26.31,26.58,26.27,26.5,29400,14.45,1.049,14.405714285714286,14.447179487179488,0.21375,1.0722640766154576
1999-02-19,1999,2.0,19.0,Friday,07,1999-07,26.45,26.62,26.34,26.39,30300,14.39,-0.415,14.39,14.44575,0.21375,1.0722640766154576
1999-02-22,1999,2.0,22.0,Monday,08,1999-08,26.5,27.12,26.42,26.95,183700,14.7,2.154,14.400714285714288,14.451951219512194,0.10359999999999996,1.281391548278667
1999-02-23,1999,2.0,23.0,Tuesday,08,1999-08,26.98,27.16,26.78,26.91,35400,14.67,-0.204,14.400714285714288,14.45714285714286,0.10359999999999996,1.281391548278667
1999-02-24,1999,2.0,24.0,Wednesday,08,1999-08,27.09,27.27,26.59,26.75,69000,14.59,-0.545,14.398571428571428,14.460232558139534,0.10359999999999996,1.281391548278667
1999-02-25,1999,2.0,25.0,Thursday,08,1999-08,26.48,26.62,26.08,26.44,28100,14.41,-1.234,14.388571428571428,14.45909090909091,0.10359999999999996,1.281391548278667
1999-02-26,1999,2.0,26.0,Friday,08,1999-08,26.38,26.59,26.22,26.52,15100,14.46,0.347,14.397857142857143,14.45911111111111,0.10359999999999996,1.281391548278667
1999-03-01,1999,3.0,1.0,Monday,09,1999-09,26.42,26.52,26.16,26.39,17500,14.39,-0.484,14.404285714285717,14.457608695652173,0.41500000000000004,0.9344196059586934
1999-03-02,1999,3.0,2.0,Tuesday,09,1999-09,26.53,26.7,26.27,26.31,29700,14.35,-0.278,14.425714285714289,14.45531914893617,0.41500000000000004,0.9344196059586934
1999-03-03,1999,3.0,3.0,Wednesday,09,1999-09,26.42,26.42,26.05,26.31,32000,14.35,0.0,14.44,14.453125,0.41500000000000004,0.9344196059586934
1999-03-04,1999,3.0,4.0,Thursday,09,1999-09,26.36,26.72,26.22,26.67,85300,14.54,1.324,14.450714285714284,14.454897959183672,0.41500000000000004,0.9344196059586934
1999-03-05,1999,3.0,5.0,Friday,09,1999-09,26.69,27.23,26.69,27.08,49100,14.76,1.513,14.485714285714286,14.461,0.41500000000000004,0.9344196059586934
1999-03-08,1999,3.0,8.0,Monday,10,1999-10,27.14,27.2,26.83,27.2,30700,14.83,0.474,14.513571428571428,14.4686,0.27240000000000003,0.8229761843455738
1999-03-09,1999,3.0,9.0,Tuesday,10,1999-10,27.23,27.39,27.0,27.23,23300,14.85,0.135,14.55285714285714,14.4696,0.27240000000000003,0.8229761843455738
1999-03-10,1999,3.0,10.0,Wednesday,10,1999-10,27.12,27.12,26.84,26.94,32600,14.69,-1.077,14.570000000000002,14.468,0.27240000000000003,0.8229761843455738
1999-03-11,1999,3.0,11.0,Thursday,10,1999-10,27.14,27.39,27.02,27.2,55700,14.83,0.953,14.60142857142857,14.4708,0.27240000000000003,0.8229761843455738
1999-03-12,1999,3.0,12.0,Friday,10,1999-10,27.45,27.58,27.25,27.44,48100,14.96,0.877,14.62,14.4698,0.27240000000000003,0.8229761843455738
1999-03-15,1999,3.0,15.0,Monday,11,1999-11,27.59,27.88,27.5,27.67,246400,15.09,0.869,14.65,14.4732,0.1802,1.3236116122186297
1999-03-16,1999,3.0,16.0,Tuesday,11,1999-11,27.72,27.95,27.7,27.8,63700,15.16,0.464,14.690714285714288,14.4802,0.1802,1.3236116122186297
