Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,30.25,30.25,29.83,29.83,7900,12.08,0.0,12.08,12.08,0.4716666666666667,1.193572089709429
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,29.8,29.8,29.64,29.7,24100,12.03,-0.414,12.055,12.055,0.4716666666666667,1.193572089709429
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,30.22,30.31,30.16,30.25,23800,12.25,1.829,12.12,12.12,0.4716666666666667,1.193572089709429
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,30.19,30.25,30.05,30.09,3100,12.19,-0.49,12.1375,12.1375,0.00474999999999999,1.1090182971138633
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,30.22,30.67,30.22,30.59,12000,12.39,1.641,12.188,12.188,0.00474999999999999,1.1090182971138633
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,30.75,30.83,30.34,30.34,70400,12.29,-0.807,12.205,12.205,0.00474999999999999,1.1090182971138633
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,30.23,30.23,30.03,30.23,21600,12.25,-0.325,12.211428571428572,12.211428571428572,0.00474999999999999,1.1090182971138633
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,30.02,30.25,29.62,29.75,109300,12.05,-1.633,12.19125,12.19125,0.1682,1.1698331932373949
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,29.98,30.11,29.86,30.11,111200,12.2,1.245,12.192222222222222,12.192222222222222,0.1682,1.1698331932373949
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,30.2,30.52,30.2,30.42,41000,12.32,0.984,12.205,12.205,0.1682,1.1698331932373949
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,30.42,30.73,30.25,30.31,222300,12.28,-0.325,12.21181818181818,12.21181818181818,0.1682,1.1698331932373949
