Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,mean_return,volatility
1998-12-22,1998,12.0,22.0,Tuesday,51,1998-51,24.81,25.06,24.81,25.03,5700,17.16,0.0,17.16,17.16,0.9470000000000001,1.1411612506565407
1998-12-23,1998,12.0,23.0,Wednesday,51,1998-51,25.19,25.59,25.19,25.59,18100,17.54,2.214,17.35,17.35,0.9470000000000001,1.1411612506565407
1998-12-24,1998,12.0,24.0,Thursday,51,1998-51,25.62,25.75,25.52,25.75,4900,17.65,0.627,17.45,17.45,0.9470000000000001,1.1411612506565407
1998-12-28,1998,12.0,28.0,Monday,52,1998-52,25.67,25.75,25.38,25.38,15500,17.39,-1.473,17.435,17.435,0.251,1.7149532549508941
1998-12-29,1998,12.0,29.0,Tuesday,52,1998-52,25.38,25.94,25.38,25.94,5300,17.78,2.243,17.503999999999998,17.503999999999998,0.251,1.7149532549508941
1998-12-30,1998,12.0,30.0,Wednesday,52,1998-52,26.0,26.03,25.72,25.72,17300,17.63,-0.844,17.525000000000002,17.525000000000002,0.251,1.7149532549508941
1998-12-31,1998,12.0,31.0,Thursday,52,1998-52,25.81,26.0,25.75,26.0,6600,17.82,1.078,17.56714285714286,17.56714285714286,0.251,1.7149532549508941
1999-01-04,1999,1.0,4.0,Monday,01,1999-01,26.25,26.38,25.78,25.94,249200,17.78,-0.224,17.59375,17.59375,0.7449999999999999,0.9980440872025643
1999-01-05,1999,1.0,5.0,Tuesday,01,1999-01,26.0,26.34,26.0,26.34,4400,18.05,1.519,17.644444444444446,17.644444444444446,0.7449999999999999,0.9980440872025643
1999-01-06,1999,1.0,6.0,Wednesday,01,1999-01,26.53,26.78,26.47,26.78,38500,18.35,1.662,17.715,17.715,0.7449999999999999,0.9980440872025643
1999-01-07,1999,1.0,7.0,Thursday,01,1999-01,26.53,26.69,26.34,26.66,15900,18.27,-0.436,17.765454545454546,17.765454545454546,0.7449999999999999,0.9980440872025643
1999-01-08,1999,1.0,8.0,Friday,01,1999-01,26.72,26.98,26.72,26.98,24400,18.49,1.204,17.825833333333332,17.825833333333332,0.7449999999999999,0.9980440872025643
1999-01-11,1999,1.0,11.0,Monday,02,1999-02,26.97,27.25,26.81,27.05,7700,18.54,0.27,17.88076923076923,17.88076923076923,-0.1048,0.9517445560653341
1999-01-12,1999,1.0,12.0,Tuesday,02,1999-02,27.12,27.25,26.91,26.94,270700,18.46,-0.431,17.922142857142855,17.922142857142855,-0.1048,0.9517445560653341
1999-01-13,1999,1.0,13.0,Wednesday,02,1999-02,25.78,26.88,25.78,26.69,7100,18.29,-0.921,18.002857142857142,17.946666666666665,-0.1048,0.9517445560653341
1999-01-14,1999,1.0,14.0,Thursday,02,1999-02,26.78,26.86,26.38,26.47,12200,18.14,-0.82,18.045714285714286,17.95875,-0.1048,0.9517445560653341
1999-01-15,1999,1.0,15.0,Friday,02,1999-02,26.56,26.91,26.56,26.83,7700,18.39,1.378,18.09857142857143,17.984117647058824,-0.1048,0.9517445560653341
1999-01-19,1999,1.0,19.0,Tuesday,03,1999-03,27.28,27.66,27.12,27.59,22700,18.91,2.828,18.207142857142856,18.035555555555558,-0.12350000000000011,2.635146358996656
1999-01-20,1999,1.0,20.0,Wednesday,03,1999-03,27.75,28.12,27.59,27.75,25800,19.02,0.582,18.295714285714286,18.087368421052638,-0.12350000000000011,2.635146358996656
1999-01-21,1999,1.0,21.0,Thursday,03,1999-03,27.69,27.69,26.72,26.78,23200,18.35,-3.523,18.34714285714286,18.1005,-0.12350000000000011,2.635146358996656
1999-01-22,1999,1.0,22.0,Friday,03,1999-03,26.59,26.88,26.41,26.67,67100,18.28,-0.381,18.38,18.10904761904762,-0.12350000000000011,2.635146358996656
1999-01-25,1999,1.0,25.0,Monday,04,1999-04,26.69,26.91,26.69,26.89,495300,18.43,0.821,18.426428571428573,18.123636363636365,0.4384,1.0779806584535736
1999-01-26,1999,1.0,26.0,Tuesday,04,1999-04,26.94,27.03,26.67,27.02,187400,18.52,0.488,18.46,18.140869565217397,0.4384,1.0779806584535736
1999-01-27,1999,1.0,27.0,Wednesday,04,1999-04,27.09,27.09,26.75,26.75,6800,18.33,-1.026,18.458571428571428,18.14875,0.4384,1.0779806584535736
1999-01-28,1999,1.0,28.0,Thursday,04,1999-04,27.0,27.34,27.0,27.25,25800,18.68,1.909,18.487857142857145,18.17,0.4384,1.0779806584535736
1999-01-29,1999,1.0,29.0,Friday,04,1999-04,27.28,27.28,26.91,27.25,13800,18.68,0.0,18.50142857142857,18.189615384615387,0.4384,1.0779806584535736
1999-02-01,1999,2.0,1.0,Monday,05,1999-05,27.38,27.47,27.16,27.41,34000,18.78,0.535,18.518571428571427,18.21148148148148,-0.18540000000000004,1.4191146183448327
1999-02-02,1999,2.0,2.0,Tuesday,05,1999-05,26.97,27.05,26.62,27.0,141700,18.5,-1.491,18.52142857142857,18.221785714285712,-0.18540000000000004,1.4191146183448327
1999-02-03,1999,2.0,3.0,Wednesday,05,1999-05,26.94,27.52,26.94,27.52,38900,18.86,1.946,18.562142857142856,18.24379310344828,-0.18540000000000004,1.4191146183448327
1999-02-04,1999,2.0,4.0,Thursday,05,1999-05,27.34,27.44,27.12,27.31,7400,18.72,-0.742,18.603571428571428,18.259666666666664,-0.18540000000000004,1.4191146183448327
1999-02-05,1999,2.0,5.0,Friday,05,1999-05,27.31,27.31,26.81,27.0,16900,18.5,-1.175,18.61142857142857,18.267419354838708,-0.18540000000000004,1.4191146183448327
1999-02-08,1999,2.0,8.0,Monday,06,1999-06,27.12,27.12,26.88,26.98,6500,18.49,-0.054,18.58142857142857,18.274375,-0.07380000000000005,1.8025902751318723
1999-02-09,1999,2.0,9.0,Tuesday,06,1999-06,27.06,27.09,26.5,26.5,220800,18.16,-1.785,18.52,18.270909090909093,-0.07380000000000005,1.8025902751318723
1999-02-10,1999,2.0,10.0,Wednesday,06,1999-06,26.31,26.56,26.19,26.56,17800,18.2,0.22,18.509285714285717,18.268823529411765,-0.07380000000000005,1.8025902751318723
1999-02-11,1999,2.0,11.0,Thursday,06,1999-06,26.47,27.28,26.38,27.28,5300,18.7,2.747,18.539285714285715,18.281142857142857,-0.07380000000000005,1.8025902751318723
1999-02-12,1999,2.0,12.0,Friday,06,1999-06,27.12,27.12,26.72,26.88,8400,18.42,-1.497,18.53857142857143,18.285,-0.07380000000000005,1.8025902751318723
1999-02-16,1999,2.0,16.0,Tuesday,07,1999-07,27.0,27.31,27.0,27.12,18500,18.59,0.923,18.54357142857143,18.293243243243243,0.36825,1.0033551631069297
1999-02-17,1999,2.0,17.0,Wednesday,07,1999-07,27.06,27.25,26.81,26.84,12900,18.4,-1.022,18.548571428571428,18.29605263157895,0.36825,1.0033551631069297
1999-02-18,1999,2.0,18.0,Thursday,07,1999-07,26.94,27.2,26.77,27.19,11500,18.63,1.25,18.545,18.304615384615385,0.36825,1.0033551631069297
1999-02-19,1999,2.0,19.0,Friday,07,1999-07,27.19,27.38,27.19,27.27,13900,18.69,0.322,18.545714285714286,18.31425,0.36825,1.0033551631069297
1999-02-22,1999,2.0,22.0,Monday,08,1999-08,27.38,27.86,27.31,27.84,17800,19.08,2.087,18.56714285714286,18.33292682926829,0.01760000000000005,1.3071399313003944
1999-02-23,1999,2.0,23.0,Tuesday,08,1999-08,27.91,27.91,27.5,27.8,15000,19.05,-0.157,18.606428571428573,18.35,0.01760000000000005,1.3071399313003944
1999-02-24,1999,2.0,24.0,Wednesday,08,1999-08,27.88,27.98,27.47,27.47,28000,18.83,-1.155,18.604285714285712,18.361162790697676,0.01760000000000005,1.3071399313003944
1999-02-25,1999,2.0,25.0,Thursday,08,1999-08,27.34,27.34,26.88,27.2,98900,18.64,-1.009,18.59857142857143,18.3675,0.01760000000000005,1.3071399313003944
1999-02-26,1999,2.0,26.0,Friday,08,1999-08,27.31,27.36,26.89,27.28,10800,18.7,0.322,18.61285714285714,18.37488888888889,0.01760000000000005,1.3071399313003944
1999-03-01,1999,3.0,1.0,Monday,09,1999-09,27.22,27.25,26.91,27.23,8800,18.67,-0.16,18.625714285714285,18.381304347826084,0.6404,1.29391162758513
1999-03-02,1999,3.0,2.0,Tuesday,09,1999-09,27.41,27.64,27.05,27.22,11500,18.65,-0.107,18.660714285714285,18.387021276595743,0.6404,1.29391162758513
1999-03-03,1999,3.0,3.0,Wednesday,09,1999-09,27.31,27.31,27.0,27.05,13100,18.54,-0.59,18.685,18.390208333333334,0.6404,1.29391162758513
1999-03-04,1999,3.0,4.0,Thursday,09,1999-09,27.44,27.53,27.23,27.53,10400,18.87,1.78,18.697142857142858,18.4,0.6404,1.29391162758513
1999-03-05,1999,3.0,5.0,Friday,09,1999-09,27.94,28.22,27.84,28.16,25400,19.3,2.279,18.76,18.418,0.6404,1.29391162758513
1999-03-08,1999,3.0,8.0,Monday,10,1999-10,28.09,28.19,27.94,28.19,62700,19.32,0.104,18.812142857142856,18.4612,0.06440000000000001,0.7331154752151943
1999-03-09,1999,3.0,9.0,Tuesday,10,1999-10,27.84,28.25,27.81,27.97,12200,19.17,-0.776,18.867142857142856,18.4938,0.06440000000000001,0.7331154752151943
1999-03-10,1999,3.0,10.0,Wednesday,10,1999-10,27.94,28.22,27.78,28.22,10700,19.34,0.887,18.917857142857144,18.5276,0.06440000000000001,0.7331154752151943
1999-03-11,1999,3.0,11.0,Thursday,10,1999-10,28.22,28.56,28.22,28.41,23600,19.47,0.672,18.97357142857143,18.5692,0.06440000000000001,0.7331154752151943
1999-03-12,1999,3.0,12.0,Friday,10,1999-10,28.53,28.66,28.25,28.25,24600,19.36,-0.565,18.993571428571425,18.6008,0.06440000000000001,0.7331154752151943
1999-03-15,1999,3.0,15.0,Monday,11,1999-11,28.44,28.55,28.22,28.34,144800,19.43,0.362,19.020714285714288,18.6368,0.10579999999999998,0.7737025914393721
1999-03-16,1999,3.0,16.0,Tuesday,11,1999-11,28.44,28.44,28.23,28.28,9100,19.38,-0.257,19.06,18.668,0.10579999999999998,0.7737025914393721
1999-03-17,1999,3.0,17.0,Wednesday,11,1999-11,28.19,28.36,28.02,28.12,2700,19.28,-0.516,19.10571428571429,18.698,0.10579999999999998,0.7737025914393721
1999-03-18,1999,3.0,18.0,Thursday,11,1999-11,27.97,28.52,27.97,28.52,9500,19.54,1.349,19.165714285714284,18.7278,0.10579999999999998,0.7737025914393721
